Frequency,Port1,Port2,
4999636000,1.192940204e-06,0.0001623327262,
4999637000,1.415359179e-06,0.0003168332623,
4999638000,1.244803457e-06,0.0001742570748,
4999639000,2.58138698e-06,0.0002442678087,
4999640000,1.606429919e-06,0.0001856369345,
4999641000,1.455842153e-06,0.0001765653724,
4999642000,1.212544248e-06,0.0001494020835,
4999643000,2.522238674e-06,0.0001760417799,
4999644000,2.11679685e-06,0.0001535693154,
4999645000,1.841599214e-06,0.0002084618463,
4999646000,2.19293247e-06,0.000192395295,
4999647000,1.919637725e-06,0.0001638919784,
4999648000,1.989021257e-06,0.0001858005126,
4999649000,1.522172511e-06,0.0002249172976,
4999650000,2.159177939e-06,0.000234915613,
4999651000,1.897756306e-06,0.0001142022084,
4999652000,1.412534289e-06,0.0002084894513,
4999653000,1.322353796e-06,0.0002561719739,
4999654000,1.190956368e-06,0.0001561930112,
4999655000,8.913651754e-07,0.0001034452507,
4999656000,1.260726776e-06,0.0001644564909,
4999657000,2.821893531e-06,0.0002036493534,
4999658000,2.51406027e-06,0.0001089315701,
4999659000,1.45165518e-06,0.0001414772414,
4999660000,1.01515991e-06,0.0001895600435,
4999661000,1.179035053e-06,0.0001696741238,
4999662000,1.53584358e-06,0.0001730552613,
4999663000,1.737336788e-06,0.000238377499,
4999664000,9.827967915e-07,0.000242956201,
4999665000,2.000992254e-06,0.0001642231946,
4999666000,2.323416538e-06,0.0001568377193,
4999667000,2.495547506e-06,0.000178312388,
4999668000,1.725634434e-06,0.0001035334208,
4999669000,1.587826318e-06,0.0001920828799,
4999670000,1.459226382e-06,0.0001093019237,
4999671000,1.547584702e-06,0.0001815954602,
4999672000,1.811994139e-06,0.0001692854712,
4999673000,9.723928542e-07,0.0001323815377,
4999674000,1.057829877e-06,0.0001342979085,
4999675000,1.766490982e-06,0.000201185394,
4999676000,1.870492497e-06,0.0002101555583,
4999677000,1.577339617e-06,0.0001856255403,
4999678000,1.681284743e-06,0.0002423693513,
4999679000,9.294500956e-07,0.0001612125488,
4999680000,2.193911769e-06,0.0001613459608,
4999681000,1.629779717e-06,0.000188391874,
4999682000,1.431464625e-06,0.0001510558359,
4999683000,1.354034453e-06,0.0001147354342,
4999684000,1.585997552e-06,0.0001355918066,
4999685000,1.027149892e-06,0.0001895162568,
4999686000,1.947183137e-06,0.00010008971,
4999687000,1.001328883e-06,0.0001563640253,
4999688000,2.15103978e-06,0.0001544778643,
4999689000,1.809996434e-06,0.000174036395,
4999690000,1.227344114e-06,0.0001763733453,
4999691000,1.411823973e-06,0.0002006488503,
4999692000,2.62196636e-06,0.0001448109397,
4999693000,1.083296297e-06,0.0001361513132,
4999694000,1.289791385e-06,0.0002361256775,
4999695000,1.424433663e-06,0.0001033519366,
4999696000,1.720827413e-06,9.918262367e-05,
4999697000,1.40567181e-06,0.0001137385261,
4999698000,1.087786472e-06,0.0001669041958,
4999699000,1.927559424e-06,0.0001418050379,
4999700000,1.568256948e-06,0.0001921059738,
4999701000,1.13843555e-06,0.0001595899812,
4999702000,1.51083907e-06,0.0001236950338,
4999703000,1.646919827e-06,0.0002505004231,
4999704000,1.2325753e-06,0.0001890186104,
4999705000,1.990556029e-06,0.0001923531963,
4999706000,1.335551133e-06,0.0001451277785,
4999707000,2.168121227e-06,0.000250482437,
4999708000,2.319065743e-06,0.0001534432231,
4999709000,1.421960519e-06,0.0002212362888,
4999710000,1.12161274e-06,0.000137832787,
4999711000,1.722716092e-06,0.000149637679,
4999712000,2.898721277e-06,0.0001410106197,
4999713000,2.158357347e-06,0.0001247574255,
4999714000,2.087716211e-06,0.0001363046322,
4999715000,1.252980269e-06,0.0002031153563,
4999716000,1.771934649e-06,0.0001898928167,
4999717000,1.083610186e-06,0.0001766706409,
4999718000,1.291597982e-06,0.0001900020143,
4999719000,1.753623906e-06,0.0001503706881,
4999720000,2.085019332e-06,0.0001998115767,
4999721000,2.440161552e-06,0.0001749935182,
4999722000,1.614576263e-06,0.0002364813699,
4999723000,1.576865657e-06,0.0001886753162,
4999724000,1.68009899e-06,0.0001558582444,
4999725000,1.67760345e-06,0.0001088290228,
4999726000,1.398318545e-06,0.0001009109983,
4999727000,1.952852244e-06,0.0002077147074,
4999728000,1.575753458e-06,0.0002140505385,
4999729000,1.339163305e-06,0.0001977801003,
4999730000,1.447268119e-06,7.928872947e-05,
4999731000,1.916014526e-06,0.0002091973292,
4999732000,2.376624479e-06,8.981469e-05,
4999733000,1.522562229e-06,0.0001211837662,
